val
BlueNarwhal#NA1
jangwoo4921#NA1
kachatakoowl#NA1
racecarjoe#NA1
ATTACK ATTACK#8611
DARKCHERIZARD#NA1
kelluu#comfy
lycheecalpico#booba
peepo#1229
freg#booba
yenayae#wadu
Tr0p#NA1
ItsErinnnn#NA1
